,Density,Efficiency,# of connected components,# of cluster,Fraction of nodes in the largest connected component,Connected components entropy,Fraction of nodes in the center,Fraction of nodes in the periphery,Fraction of nodes in the barycenter,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Assortativity coefficient analysis,Shortest path length analysis,Average eccentricity,Average degree,Average communicability,Average node similarity,Average node betweenness centrality,Average edge betweenness centrality
pre3_09DIV_CS2_FOV2,0.19074158639665345,0.0,0.3382352941176471,0.7443478260869566,0.7361652432140794,0.3370264956614696,0.0007674622147326618,0.007499965406063624,0.00189099510221821,0.734968237553553,0.6024478504072738,0.5177914765831313,0.6265783833006053,0.8763635864806081,0.038093054713495424,0.05823925006873497,0.2424511545293073,3.8897537927763475e-19,0.0,0.45376576057013795,0.5057908881480011
pre3_12DIV_CS3_FOV4,0.3213988998953437,0.06237258476530784,0.1823529411764706,0.5373913043478261,0.7246915231564124,0.34330170452087705,0.002662502178953577,0.003966176206483989,0.0047361939945060145,0.7191689603125277,0.6402597594590844,0.4937442917896205,0.43593443552294087,0.8638193804412347,0.025532989109352006,0.0307320750859348,0.3491048593350384,1.0729028758482535e-13,0.0,0.3438941003111116,0.3618652539768863
pre3_12DIV_CS3_FOV1,0.3412050976417754,0.039148681973743174,0.16176470588235295,0.6869565217391305,0.8707788508060372,0.19137388482669537,0.000828634973036218,0.004360694761899746,0.001982839426058115,0.852285994489329,0.8158674433425385,0.7352187241803115,0.2986331390803616,0.9073573111013371,0.01494249473565306,0.02331205733446136,0.3872340425531915,1.9293521234094706e-16,0.0,0.4954138915278739,0.4039575763547524
pre3_12DIV_CS2_FOV3,0.40899116470989394,0.05183759064055872,0.07058823529411765,0.7443478260869566,0.956557472800948,0.06967881019884324,0.0004436470494463434,0.006461366413320354,0.0014048214241040406,0.8363650001875258,0.9409585222262795,0.9032004131600067,0.23808951894020014,0.8607408277698326,0.004944146289707747,0.0075789845928807345,0.385593220338983,3.992054922737173e-15,0.0,0.5171142213172927,0.3590781882596419
pre3_12DIV_CS3_FOV3,0.5899681943316076,0.07851141605240759,0.011764705882352941,0.48173913043478267,0.9890596564720464,0.024761230396881287,0.0023956631651958055,0.008130238493440703,0.004335563886066635,0.7596371882086167,0.8473279644135934,0.7347690900466991,0.27794001109519817,0.8818018176255686,0.01571837646047692,0.01660837560198495,0.6046511627906976,4.099340503820247e-12,0.0,0.7132037994626402,0.5602130071114205
pre3_12DIV_CS2_FOV2,0.3357467097731366,0.041525249814997015,0.1411764705882353,0.6608695652173914,0.8749583869882056,0.18514777115684222,0.01838601105756336,0.004802536912628655,0.002258610954263128,0.7744573040824552,0.7833636738983557,0.6701400168204785,0.3561156226396789,0.8672769421495656,0.01464261814043328,0.018150532859680282,0.3046875,4.3225927834785166e-16,0.0,0.49738975101788807,0.43370220207432536
pre2_12DIV_CS1_FOV5,0.34547668580321184,0.030934166465712468,0.16470588235294117,0.4747826086956522,0.8072767579252327,0.2765739291116145,0.04496400714806255,0.02823884293099011,0.0048011670529144014,0.7326007326007327,0.6023606219707374,0.49973888358960455,0.5013763223596341,0.8993009486935605,0.046188690546175824,0.057765078384431234,0.39111747851002865,1.0070057025419457e-16,0.0,0.6506563034239099,0.6999973894352864
pre3_12DIV_CS5_FOV1,0.5036157382553026,0.06948898670546715,0.03529411764705882,0.6,0.9597367989800735,0.07180661870758466,0.0013793621153972472,0.020793781744809007,0.0028096970570224413,0.7702343318781675,0.8340258505696003,0.8581997521504835,0.16636490628877887,0.83928081888609,0.009910772735633802,0.011650660806213686,0.48275862068965514,4.1563577628435933e-13,0.0,0.5816042763153702,0.42035273294613007
pre3_12DIV_CS4_FOV1,0.3862866053956478,0.051219412537402656,0.0823529411764706,0.7965217391304348,0.9526655867828326,0.07431087933811122,0.010810270249713722,0.0028586732235121393,0.0010453671311340968,0.8282289402621352,0.9101294191198018,0.8410163580086255,0.20391757683447764,0.835420187501325,0.00247924170739907,0.004274919468946627,0.35968379446640314,3.3749284340867066e-15,0.0,0.47917820238537145,0.327239250634339
pre3_12DIV_CS5_FOV3,0.1103404143516985,0.4956373200049626,0.5058823529411764,0.11652173913043479,0.033142552502205984,0.9546465212393099,0.3007086184967597,0.23814717392699042,0.22397891963109354,0.7857142857142857,0.21473917427674633,0.2453182987558476,0.8681380088524748,0.492286909280568,0.4449962419436658,0.5822380106571936,0.0,0.035327345206505475,0.0,0.0007323286789293676,0.004402707336682984
